month,scheme_name,avg_nav,min_nav,max_nav
2026-12,Axis Bluechip Fund - Regular - Growth,6083.1394,6031.2329,6150.5076
2026-12,HDFC Top 100 Fund - Direct Plan - Growth,186.0976,177.9888,190.6152
2026-12,ICICI Pru Bluechip Fund - Regular - Growth,106.185,101.9718,110.5365
2026-12,Kotak Bluechip Fund - Regular - Growth,226.6668,216.8313,238.1528
2026-12,Nippon India Large Cap Fund - Regular - Growth,100.7772,97.1846,104.9922
2026-12,SBI Bluechip Fund - Regular Plan - Growth,109.1692,104.7585,110.9898
2026-11,Axis Bluechip Fund - Regular - Growth,6100.4426,6061.1204,6151.8671
2026-11,HDFC Top 100 Fund - Direct Plan - Growth,187.9072,178.3891,195.586
2026-11,ICICI Pru Bluechip Fund - Regular - Growth,106.4745,102.9776,110.8392
2026-11,Kotak Bluechip Fund - Regular - Growth,228.5595,217.2638,242.7219
2026-11,Nippon India Large Cap Fund - Regular - Growth,100.9524,98.1139,105.5426
2026-11,SBI Bluechip Fund - Regular Plan - Growth,108.806,104.8053,111.1072
2026-10,Axis Bluechip Fund - Regular - Growth,6091.7611,6058.8643,6129.7674
2026-10,HDFC Top 100 Fund - Direct Plan - Growth,184.1859,178.8419,189.019
2026-10,ICICI Pru Bluechip Fund - Regular - Growth,106.5153,104.1348,110.6519
2026-10,Kotak Bluechip Fund - Regular - Growth,223.7047,217.2151,228.6993
2026-10,Nippon India Large Cap Fund - Regular - Growth,101.2394,98.8886,105.3572
2026-10,SBI Bluechip Fund - Regular Plan - Growth,108.6911,104.5956,111.0484
2026-09,Axis Bluechip Fund - Regular - Growth,6074.3364,6028.4591,6126.1544
2026-09,HDFC Top 100 Fund - Direct Plan - Growth,183.1465,175.7742,188.469
2026-09,ICICI Pru Bluechip Fund - Regular - Growth,106.293,102.5494,110.3845
2026-09,Kotak Bluechip Fund - Regular - Growth,222.4727,213.7211,227.0265
2026-09,Nippon India Large Cap Fund - Regular - Growth,101.0374,97.4948,104.8998
2026-09,SBI Bluechip Fund - Regular Plan - Growth,109.0226,104.515,110.9193
2026-08,Axis Bluechip Fund - Regular - Growth,6099.527,6028.086,6151.3707
2026-08,HDFC Top 100 Fund - Direct Plan - Growth,189.2068,180.5783,196.8821
2026-08,ICICI Pru Bluechip Fund - Regular - Growth,106.8302,103.2833,110.0573
2026-08,Kotak Bluechip Fund - Regular - Growth,232.8124,224.5909,244.6201
2026-08,Nippon India Large Cap Fund - Regular - Growth,101.0056,98.1861,104.3327
2026-08,SBI Bluechip Fund - Regular Plan - Growth,106.4944,104.3919,110.2218
2026-07,Axis Bluechip Fund - Regular - Growth,6096.1593,6028.3846,6149.9098
2026-07,HDFC Top 100 Fund - Direct Plan - Growth,188.5423,174.8342,197.4753
2026-07,ICICI Pru Bluechip Fund - Regular - Growth,106.1237,99.3876,111.3106
2026-07,Kotak Bluechip Fund - Regular - Growth,232.293,217.9604,245.6055
2026-07,Nippon India Large Cap Fund - Regular - Growth,100.5526,94.7584,105.6078
2026-07,SBI Bluechip Fund - Regular Plan - Growth,106.3618,103.9918,110.2175
2026-06,Axis Bluechip Fund - Regular - Growth,6084.8714,6028.7271,6149.0307
2026-06,HDFC Top 100 Fund - Direct Plan - Growth,185.6454,174.9151,196.0036
2026-06,ICICI Pru Bluechip Fund - Regular - Growth,106.3933,98.8014,111.2492
2026-06,Kotak Bluechip Fund - Regular - Growth,226.5868,215.1244,245.3878
2026-06,Nippon India Large Cap Fund - Regular - Growth,101.0459,94.353,105.7006
2026-06,SBI Bluechip Fund - Regular Plan - Growth,108.088,103.9142,111.0395
2026-05,ABSL Frontline Equity Fund - Regular - Growth,779.0825,762.9328,803.0014
2026-05,ABSL Liquid Fund - Regular - Growth,408.9022,407.7276,410.1021
2026-05,ABSL Small Cap Fund - Regular - Growth,53.2158,51.8695,54.7847
2026-05,Axis Bluechip Fund - Direct - Growth,56.3754,54.1582,58.8528
2026-05,Axis Bluechip Fund - Regular - Growth,1015.0472,49.3605,6146.0001
2026-05,Axis Midcap Fund - Regular - Growth,198.2992,186.3092,203.8581
2026-05,Axis Small Cap Fund - Regular - Growth,54.5697,51.6185,56.8656
2026-05,DSP Midcap Fund - Regular - Growth,249.5966,245.3651,257.6666
2026-05,DSP Small Cap Fund - Regular - Growth,303.7226,279.7511,332.2347
2026-05,DSP Top 100 Equity Fund - Regular - Growth,613.7017,600.8596,624.8302
2026-05,HDFC Mid-Cap Opportunities Fund - Direct - Growth,187.8403,181.4267,193.5136
2026-05,HDFC Mid-Cap Opportunities Fund - Regular - Growth,351.2722,341.0618,357.7158
2026-05,HDFC Short Term Debt Fund - Regular - Growth,31.8908,31.6652,32.0496
2026-05,HDFC Top 100 Fund - Direct Plan - Growth,1041.1954,179.3239,1229.7696
2026-05,HDFC Top 100 Fund - Regular Plan - Growth,592.4348,578.6237,609.5709
2026-05,ICICI Pru Bluechip Fund - Direct - Growth,151.9261,149.857,154.5644
2026-05,ICICI Pru Bluechip Fund - Regular - Growth,113.9805,105.8387,118.8713
2026-05,ICICI Pru Liquid Fund - Regular - Growth,387.5094,386.3466,388.5939
2026-05,ICICI Pru Midcap Fund - Regular - Growth,468.5491,452.2385,476.3696
2026-05,ICICI Pru Value Discovery Fund - Regular - Growth,396.7153,388.9033,406.7074
